tipo,id,size_kb,truncado,falta_seccion,llm_bloqueado,sin_citas,todos_cero,cells_dash_pct
dpto,05,21.4,0,0,0,0,0,56
dpto,08,15.4,0,0,0,0,0,58
dpto,11,26.1,0,0,0,0,0,55
dpto,13,16.5,0,0,0,0,0,59
dpto,15,11.1,0,0,0,0,0,58
dpto,17,18.2,0,0,0,0,0,56
dpto,18,15.2,0,0,0,0,0,53
dpto,19,20.6,0,0,0,0,0,52
dpto,20,15.4,0,0,0,0,0,54
dpto,23,15.6,0,0,0,0,0,58
dpto,25,21.8,0,0,0,0,0,58
dpto,27,6.1,0,0,0,0,0,45
dpto,41,14.7,0,0,0,0,0,53
dpto,44,17.7,0,0,0,0,0,56
dpto,47,7.5,0,0,0,0,0,49
dpto,50,21.2,0,0,0,0,0,56
dpto,52,16.0,0,0,0,0,0,54
dpto,54,12.0,0,0,0,0,0,58
dpto,63,12.8,0,0,0,0,0,58
dpto,66,15.6,0,0,0,0,0,57
dpto,68,15.8,0,0,0,0,0,60
dpto,70,17.2,0,0,0,0,0,58
dpto,73,18.1,0,0,0,0,0,58
dpto,76,24.0,0,0,0,0,0,54
dpto,81,16.2,0,0,0,0,0,57
dpto,85,17.0,0,0,0,0,0,57
dpto,86,19.1,0,0,0,0,0,50
dpto,88,4.3,1,0,0,0,0,60
dpto,91,15.4,0,0,0,0,0,51
dpto,94,10.9,0,0,0,0,0,51
dpto,95,15.4,0,0,0,0,0,54
dpto,97,12.4,0,0,0,0,0,47
dpto,99,28.3,0,0,0,0,0,35
macro,1,3.3,1,0,0,0,0,0
macro,2,3.8,1,0,0,0,0,0
macro,3,3.1,1,0,0,0,0,0
macro,4,3.1,1,0,0,0,0,0
macro,5,2.6,1,0,0,0,0,0
mpio,05001,1.6,1,0,0,0,0,0
mpio,05002,1.6,1,0,0,0,0,0
mpio,05004,1.6,1,0,0,0,1,0
mpio,05021,1.6,1,0,0,0,1,0
mpio,05030,1.6,1,0,0,0,0,0
mpio,05031,1.6,1,0,0,0,0,0
mpio,05034,1.8,1,0,0,0,0,0
mpio,05036,1.6,1,0,0,0,0,0
mpio,05038,1.6,1,0,0,0,1,0
mpio,05040,1.6,1,0,0,0,0,0
mpio,05042,1.6,1,0,0,0,0,0
mpio,05044,1.6,1,0,0,0,0,0
mpio,05045,1.9,1,0,0,0,0,0
mpio,05051,1.7,1,0,0,0,0,0
mpio,05055,1.6,1,0,0,0,0,0
mpio,05059,1.6,1,0,0,0,0,0
mpio,05079,1.6,1,0,0,0,0,0
mpio,05086,1.6,1,0,0,0,0,0
