cod_dpto,cod_mpio,nombre_mpio,grupo_edad,sexo,total,cod_pueblo,nombre_pueblo,fuente,periodo
99,99773,Cumaribo,00-04,Hombre,7,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,00-04,Mujer,12,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,05-09,Hombre,8,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,05-09,Mujer,9,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,10-14,Hombre,10,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,10-14,Mujer,4,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,15-19,Hombre,7,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,15-19,Mujer,13,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,20-24,Hombre,10,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,20-24,Mujer,7,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,25-29,Hombre,10,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,25-29,Mujer,4,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,30-34,Hombre,9,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,30-34,Mujer,7,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,35-39,Hombre,9,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,35-39,Mujer,10,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,40-44,Hombre,17,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,40-44,Mujer,7,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,45-49,Hombre,16,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,45-49,Mujer,15,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,50-54,Hombre,16,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,50-54,Mujer,13,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,55-59,Hombre,22,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,55-59,Mujer,16,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,60-64,Hombre,19,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,60-64,Mujer,11,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,65-69,Hombre,16,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,65-69,Mujer,10,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,70-74,Hombre,13,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,70-74,Mujer,5,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
99,99773,Cumaribo,75-79,Hombre,9,,,DANE-REDATAM-CNPVBASE4V2-Web,2018
